z,lum,k_corr
1.29,2.4890079,1.79625
0.5915,0.58554924,1.12831
1.949,27.833735,0.936159
1.44,15.91129,2.01024
3.24,77.64104,1.00173
2.9,344.03437,2.14521
0.6535,2.9210997,1.89969
4.27,97.608057,2.67849
0.258,1.4597696,1.08072
1.38,13.067029,1.0309
1.71,31.894978,1.51245
0.422,0.39716785,1.26678
2.6147,33.876429,2.92334
1.434,16.750787,0.829238
0.297,0.060164492,1.22628
3.35,30.975489,1.49957
2.5273,19.695246,2.37435
2.198,90.456651,3.22788
1.059,9.7530596,1.52159
0.9364,4.4184318,0.944317
2.346,116.82853,1.26538
0.08,0.0042648817,1.14223
1.55,13.209391,2.60233
0.481,0.38001358,1.11562
0.714,1.4760178,1.60668
2.03,13.636511,0.989195
6.6,121.88449,3.25892
2.296,22.853982,1.10512
4.045,95.232484,3.7439
3.91,128.95071,2.30798
3.5,178.40114,3.71027
1.489,47.620289,1.43256
0.348,0.11173822,0.85567
1.51,11.511473,1.68925
3.221,76.44405,1.19499
2.1357,10.428316,0.822483
3.082,23.053025,4.00409
0.125,0.24167246,1.01155
1.92,12.683116,3.13265
2.711,47.779731,1.13594
1.532,20.15472,1.07057
0.54,0.78842362,1.10641
1.923,67.579381,2.13129
0.703,1.9592751,1.7069
3.686,125.1458,1.05408
1.8836,18.550786,3.84421
0.937,23.929062,1.22212
3.2,114.50089,0.49607
5.6,83.024112,9.26962
1.261,64.124663,2.34172
0.3463,1.8548849,1.24192
0.757,0.69504869,1.28448
1.314,120.74385,1.68966
1.159,39.561407,1.90988
0.41,26.348426,1.53257
2.088,119.89569,2.85944
3.355,74.314107,1.09342
2.6208,43.152158,1.25706
1.497,31.468025,1.3513
0.836,3.0989985,1.43402
2.954,31.559696,1.50053
1.959,13.746577,1.99559
2.31,30.525692,1.12215
1.16,6.2940959,0.906967
2.4996,15.191578,2.26989
0.617,1.3807997,1.22259
0.92,16.982404,1.54916
3.626,35.105134,3.5237
2.45,10.173995,1.25032
2.17,8.485617,4.24892
1.605,50.789397,1.93953
0.98,2.1604386,0.928945
0.947,15.500139,1.42704
2.145,110.34567,2.96512
2.452,10.917764,1.40282
2.692,16.436327,0.704651
1.331,53.894296,2.03064
2.0858,17.745324,2.91905
2.641,42.669305,1.37743
2.4266,42.236495,0.64767
0.937,121.98982,1.82631
1.95,43.255355,2.85672
1.51,7.8493227,0.704505
1.03,140.93446,1.25598
2.433,118.64298,1.72067
1.1,49.06142,1.82443
0.767,4.2076447,1.15926
1.545,40.367535,0.282107
2.69,59.851079,2.76548
1.6398,142.88381,2.33703
3.036,465.47193,3.20515
1.23,4.2619923,1.26236
0.845,1.1648225,1.57339
2.602,286.93653,3.83691
2.2,26.45844,3.07878
1.505,7.0994052,1.52592
3.35,45.42072,2.74603
2.374,29.179444,1.49779
0.689,2.5811828,1.61608
1.692,21.821757,1.30304
0.5295,1.5257661,1.3165
1.9685,11.737471,2.13527
0.9787,2.7367432,1.63654
2.58,16.266748,0.838297
2.512,63.438377,6.41186
2.1,36.552671,1.89312
2.26,624.24809,0.825941
2.77,115.05591,3.59126
1.547,41.664695,1.8203
1.7493,35.60249,1.6305
3.375,22.467792,1.18394
1.4485,2.8457116,1.5882
0.544,43.351887,1.49269
0.54,22.947642,1.35652
3,119.41814,1.71024
2.737,24.94829,1.49237
2.452,65.608321,2.40351
1.24,5.3294529,3.45129
1.37,16.834328,1.21764
0.971,21.668059,1.23553
1.71,29.597215,2.12653
1.092,6.6952533,1.70655
2.752,32.401434,2.20529
3.076,25.502191,2.94377
0.49,36.979355,0.948496
1.063,49.67915,1.6795
4.813,57.854875,0.948901
1.18,7.4306174,0.799582
0.624,0.86062922,0.97109
1.398,27.268879,1.53533
0.542,7.734335,1.19363
1.567,25.050457,2.7336
2.106,56.132838,1.50705
1.44,9.0228131,2.21373
0.8049,13.587872,2.3254
1.408,2.7408184,1.48977
1.727,70.419865,1.40113
0.414,0.63773116,1.24316
0.55,1.1721167,1.04852
2.339,12.520704,2.93558
2.22,36.281009,2.04554
1.46,78.794654,1.18067
1.77,145.24743,4.06844
1.613,144.46777,3.11094
0.82,85.268345,1.75798
2.83,264.56757,2.97189
1.858,13.002496,1.18557
1.348,4.3039936,0.763197
3.36,59.790145,1.7787
4.9898,748.63041,1.66021
2.893,29.29522,2.01289
3.1516,20.074765,2.70401
0.297,0.092462824,1.08864
0.714,18.144709,0.896774
1.3805,8.4809744,0.995414
2.943,104.05659,0.808327
1.728,66.386832,2.59267
1.798,29.698929,2.06084
2.813,65.166795,3.14543
2.876,37.560474,1.24088
0.283,0.076353631,1.02495
6.01,297.91083,1.87791
4.1745,46.05351,7.23836
0.9586,4.5961125,1.03683
0.8,4.507823,1.2358
3.796,48.653953,5.13208
2.671,49.300949,2.88414
2.358,117.60943,0.564397
0.97,10.339383,1.25484
3.1,46.333301,1.82615
2.298,29.20205,2.13374
1.77,9.2841168,1.68841
2.2,133.13061,2.60701
3.385,48.064238,1.25471
1.023,2.9789386,0.884931
2.539,32.400588,2.60778
0.597,1.5920912,1.16804
3.758,82.232982,16.3891
1.297,24.558767,0.753345
0.3399,87.536885,1.33775
2.78,93.276956,1.68772
2.27,192.65161,4.0907
1.3033,14.632347,1.46675
3.6,87.361369,2.34146
1.06,2.1112353,1.28726
5.913,335.36113,2.28538
2.092,13.447568,3.0687
1.155,47.394229,2.31415
0.4791,7.2398876,1.0242
1.238,83.795135,2.29663
1.295,101.12876,2.36506
0.599,0.60183225,1.0739
1.686,31.671361,1.50212
2.73,302.63271,4.21966
1.2076,86.446192,1.60926
1.416,5.5753311,0.886715
4.954,74.67513,1.96947
1.02,1.4839774,1.57902
3.956,166.33279,3.81485
3.26,41.779943,4.07285
1.6,26.599942,0.969793
0.889,8.6200323,1.20157
0.725,9.0575368,1.53185
3.14,73.382726,1.95507
3.35,24.826952,0.601996
2.993,74.859487,1.84866
0.915,2.9103606,1.58335