frb_name,telescope,rmp_dm,rmp_width,rmp_snr,rmp_flux
FRB170107,ASKAP,609.5,2.4,16,24.1
FRB170416,ASKAP,523.2,5,13,19.4
FRB170428,ASKAP,991.7,4.4,10.5,7.7
FRB170707,ASKAP,235.2,3.5,9.5,14.8
FRB170712,ASKAP,312.79,1.4,12.7,37.8
FRB170906,ASKAP,390.3,2.5,17,29.6
FRB171003,ASKAP,463.2,2,13.8,40.5
FRB171004,ASKAP,304,2,10.9,22
FRB171019,ASKAP,460.8,5.4,23.4,40.5
FRB171020,ASKAP,114.1,3.2,19.5,117.6
FRB171116,ASKAP,618.5,3.2,11.8,19.6
FRB171213,ASKAP,158.6,1.5,25.1,88.6
FRB171216,ASKAP,203.1,1.9,8,21
FRB180110,ASKAP,715.7,3.2,35.6,128.1
FRB180119,ASKAP,402.7,2.7,15.9,40.7
FRB180128.0,ASKAP,441.4,2.9,12.4,17.5
FRB180128.2,ASKAP,495.9,2.3,9.6,28.7
FRB180130,ASKAP,343.5,4.1,10.2,23.1
FRB180131,ASKAP,657.7,4.5,13.8,22.2
FRB180212,ASKAP,167.5,1.81,18.3,53
FRB180315,ASKAP,479,2.4,10.4,23.3
FRB180324,ASKAP,431,4.3,9.8,16.5
FRB180417,ASKAP,474.8,2.52,24.2,21.8
FRB180430,ASKAP,264.1,1.2,28.2,147.5
FRB180515,ASKAP,355.2,1.9,12.1,24.2
FRB180525,ASKAP,388.1,3.8,27.4,78.9
FRB180924,ASKAP,361.42,1.3,194,12.3
FRB180908.J1232+74,CHIME/FRB,195.7,1.91,0,0.6
FRB190117.J2207+17,CHIME/FRB,393.3,1.44,0,1.7
FRB190208.J1855+46,CHIME/FRB,579.9,0.91,0,0.4
FRB190212.J18+81,CHIME/FRB,301.7,4.1,0,0.4
FRB190303.J1353+48,CHIME/FRB,222.4,4.5,0,0.5
FRB190417.J1939+59,CHIME/FRB,1378.1,3.3,0,0.5
FRB190604.J1435+53,CHIME/FRB,552.7,1.2,0,0.6
FRB190907.J08+46,CHIME/FRB,310.9,3,0,0.3
FRB010305,Parkes,350,9,10.2,4.2
FRB010125,parkes,790,9.4,17,0.3
FRB010312,parkes,1187,24.3,11,0.25
FRB010621,parkes,745,7,16.3,0.41
FRB010724,parkes,375,5,23,30
FRB090625,parkes,899.55,1.92,30,1.14
FRB110214,parkes,168.9,1.9,13,27
FRB110220,parkes,944.38,5.6,49,1.3
FRB110626,parkes,723,1.4,11,0.4
FRB110703,parkes,1103.6,4.3,16,0.5
FRB120127,parkes,553.3,1.1,11,0.5
FRB121002,parkes,1629.18,5.44,16,0.43
FRB130626,parkes,952.4,1.98,21,0.74
FRB130628,parkes,469.88,0.64,29,1.91
FRB130729,parkes,861,15.61,14,0.22
FRB131104,parkes,779,2.08,30,1.12
FRB140514,parkes,562.7,2.8,16,0.471
FRB150215,parkes,1105.6,2.88,19,0.7
FRB150418,parkes,776.2,0.8,39,2.2
FRB150610,parkes,1593.9,2,18,0.7
FRB150807,parkes,266.5,0.35,0,128
FRB151206,parkes,1909.8,3,10,0.3
FRB151230,parkes,960.4,4.4,17,0.42
FRB160102,parkes,2596.1,3.4,16,0.5
FRB171209,parkes,1457.4,2.5,40,1.48
FRB180309,parkes,263.42,0.475,411,27.6
FRB180311,parkes,1570.9,13.4,11.5,0.15
FRB180714,parkes,1467.92,2.9,22,0.6