FRB,Telescope,S/N ratio,Peak Flux (Jy),Luminosity Distance (Gpc),Redshift (inferred),Peak Flux Limit (Jy),Peak Luminosity (W),Limiting Luminosity (W)
FRB170107,ASKAP,16.00,24.10,2.72,0.48,1.50625,2.13337E+28,6.54217E+27
FRB170416,ASKAP,13.00,19.40,2.21,0.40,1.492307692,1.1337E+28,5.16927E+27
FRB170428,ASKAP,10.50,7.70,5.03,0.79,0.7333333333,2.33098E+28,4.95455E+26
FRB170707,ASKAP,9.50,14.80,0.80,0.17,1.557894737,1.13332E+27,4.29783E+27
FRB170712,ASKAP,12.70,37.80,1.15,0.23,2.976377953,5.98134E+27,4.00663E+28
FRB170906,ASKAP,17.00,29.60,1.52,0.29,1.741176471,8.18257E+27,1.07371E+28
FRB171003,ASKAP,13.80,40.50,1.89,0.35,2.934782609,1.73097E+28,4.17367E+28
FRB171004,ASKAP,10.90,22.00,1.11,0.22,2.018348624,3.24324E+27,1.07232E+28
FRB171019,ASKAP,23.40,40.50,1.89,0.35,1.730769231,1.73097E+28,1.45159E+28
FRB171020,ASKAP,19.50,117.60,0.29,0.06,6.030769231,1.18335E+27,5.11757E+29
FRB171116,ASKAP,11.80,19.60,2.76,0.49,1.661016949,1.78643E+28,6.47016E+27
FRB171213,ASKAP,25.10,88.60,0.47,0.10,3.529880478,2.34175E+27,1.32088E+29
FRB171216,ASKAP,8.00,21.00,0.66,0.14,2.625,1.09451E+27,1.73137E+28
FRB180110,ASKAP,35.60,128.10,3.32,0.56,3.598314607,1.68941E+29,1.98453E+29
FRB180119,ASKAP,15.90,40.70,1.60,0.31,2.559748428,1.24665E+28,3.1908E+28
FRB180128.0,ASKAP,12.40,17.50,1.82,0.34,1.411290323,6.93572E+27,4.17044E+27
FRB180128.2,ASKAP,9.60,28.70,2.06,0.38,2.989583333,1.45723E+28,3.06912E+28
FRB180130,ASKAP,10.20,23.10,1.29,0.25,2.264705882,4.59941E+27,1.41758E+28
FRB180131,ASKAP,13.80,22.20,2.97,0.51,1.608695652,2.34302E+28,6.87403E+27
FRB180212,ASKAP,18.30,53.00,0.52,0.11,2.896174863,1.71472E+27,5.31908E+28
FRB180315,ASKAP,10.40,23.30,2.00,0.37,2.240384615,1.11513E+28,1.3993E+28
FRB180324,ASKAP,9.80,16.50,1.57,0.30,1.683673469,4.86625E+27,5.59642E+27
FRB180417,ASKAP,24.20,21.80,2.03,0.37,0.9008264463,1.07488E+28,2.11665E+27
FRB180430,ASKAP,28.20,147.50,0.38,0.08,5.230496454,2.54842E+27,4.82824E+29
FRB180515,ASKAP,12.10,24.20,0.99,0.20,2,2.8379E+27,1.15821E+28
FRB180525,ASKAP,27.40,78.90,1.55,0.30,2.879562044,2.26804E+28,7.82782E+28
FRB180924,ASKAP,194.00,12.30,1.81,0.34,0.06340206186,4.8214E+27,5.91593E+24
FRB180908.J1232+74,CHIME/FRB,0,0.60,0.62,0.13,#DIV/0!,2.7596E+25,#DIV/0!
FRB190117.J2207+17,CHIME/FRB,0,1.70,1.49,0.29,#DIV/0!,4.51578E+26,#DIV/0!
FRB190208.J1855+46,CHIME/FRB,0,0.40,2.35,0.42,#DIV/0!,2.64306E+26,#DIV/0!
FRB190212.J18+81,CHIME/FRB,0,0.40,1.05,0.21,#DIV/0!,5.27654E+25,#DIV/0!
FRB190303.J1353+48,CHIME/FRB,0,0.50,0.77,0.16,#DIV/0!,3.54701E+25,#DIV/0!
FRB190417.J1939+59,CHIME/FRB,0,0.50,7.40,1.08,#DIV/0!,3.276E+27,#DIV/0!
FRB190604.J1435+53,CHIME/FRB,0,0.60,2.42,0.43,#DIV/0!,4.20429E+26,#DIV/0!
FRB190907.J08+46,CHIME/FRB,0,0.30,1.07,0.21,#DIV/0!,4.1096E+25,#DIV/0!
FRB010305,Parkes,10.20,4.20,1.57,0.30,0.4117647059,1.23868E+27,8.52037E+25
FRB010125,parkes,17.00,0.30,3.33,0.57,0.01764705882,3.98034E+26,1.11783E+22
FRB010312,parkes,11.00,0.25,6.26,0.95,0.02272727273,1.17219E+27,1.54506E+22
FRB010621,parkes,16.30,0.41,0.92,0.19,0.02515337423,4.15213E+25,3.10375E+22
FRB010724,parkes,23.00,30.00,1.42,0.28,1.304347826,7.23784E+27,6.10688E+27
FRB090625,parkes,30.00,1.14,4.49,0.72,0.038,2.74985E+27,1.96962E+23
FRB110214,parkes,13.00,27.00,0.67,0.14,2.076923077,1.45019E+27,1.39353E+28
FRB110220,parkes,49.00,1.30,4.76,0.76,0.02653061224,3.52426E+27,1.09484E+23
FRB110626,parkes,11.00,0.40,3.30,0.56,0.03636363636,5.21193E+26,6.32857E+22
FRB110703,parkes,16.00,0.50,5.82,0.89,0.03125,2.02641E+27,5.84226E+22
FRB120127,parkes,11.00,0.50,2.42,0.43,0.04545454545,3.50358E+26,1.23605E+23
FRB121002,parkes,16.00,0.43,9.25,1.30,0.026875,4.40213E+27,3.71601E+22
FRB130626,parkes,21.00,0.74,4.60,0.74,0.03523809524,1.87352E+27,1.09943E+23
FRB130628,parkes,29.00,1.91,1.86,0.35,0.06586206897,7.90624E+26,9.91323E+23
FRB130729,parkes,14.00,0.22,4.25,0.69,0.01571428571,4.75457E+26,6.50014E+21
FRB131104,parkes,30.00,1.12,3.50,0.59,0.03733333333,1.64159E+27,1.86777E+23
FRB140514,parkes,16.00,0.47,2.46,0.44,0.0294375,3.41037E+26,4.88353E+22
FRB150215,parkes,19.00,0.70,3.32,0.57,0.03684210526,9.23177E+26,1.13684E+23
FRB150418,parkes,39.00,2.20,2.79,0.49,0.05641025641,2.049E+27,8.37625E+23
FRB150610,parkes,18.00,0.70,8.41,1.20,0.03888888889,5.92381E+27,1.26666E+23
FRB150807,parkes,0.00,128.00,0.94,0.19,#DIV/0!,1.35325E+28,#DIV/0!
FRB151206,parkes,10.00,0.30,11.09,1.50,0.03,4.41464E+27,3.23054E+22
FRB151230,parkes,17.00,0.42,5.08,0.80,0.02470588235,1.29684E+27,3.06733E+22
FRB160102,parkes,16.00,0.50,16.80,2.10,0.03125,1.68849E+28,5.84226E+22
FRB171209,parkes,40.00,1.48,11.73,1.57,0.037,2.43651E+28,2.42424E+23
FRB180309,parkes,411.00,27.60,0.92,0.19,0.06715328467,2.79509E+27,1.48921E+25
FRB180311,parkes,11.50,0.15,15.82,2.00,0.01304347826,4.49175E+27,3.05344E+21
FRB180714,parkes,22.00,0.60,12.01,1.60,0.02727272727,1.0355E+28,5.33973E+22